دسته,شاخص,کد World Bank,کد Data360,واحد,سال,مقدار,سال مقایسه قبلی,تغییر نسبت به مقدار قبلی,تغییر نسبت به مقدار قبلی %
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2011,91.8,2010.0,-0.9000000000000057,-0.9708737864077731
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2012,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2013,90.0,2011.0,-1.7999999999999972,-1.960784313725487
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2014,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2015,87.4,2013.0,-2.5999999999999943,-2.8888888888888826
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2016,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2017,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2018,88.4,2015.0,1.0,1.1441647597254003
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2019,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2020,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2021,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2022,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2023,,,,
