Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,,Cotton Ginning at Current Prices (Rs Million),43954,48244,43795,49757,62907,61375,61769,66893,75990,90641,127750,188204,163462,159532,177577,159312,122310,153704,176258,181837,186368,191326,318416,278259,473956,351252,343953
,Livestock at Current Prices (Rs Million),,599267,656752,686998,730156,815702,930203,1047613,1162587,1326941,1583083,1912231,2371802,3016234,3459424,3717233,4309498,4531885,4681073,5163098,5681368,6301160,7504838,8644011,11210370,13817927,16299968,17791259
,Forestry at Current Prices (Rs Million),,48169,54589,58294,67862,85652,83960,70413,69205,58074,64055,79342,93278,115070,130495,141033,134536,161737,159493,165288,184508,197771,236197,252747,364003,406305,463064,527851
,Fishing at Current Prices (Rs Million),,27228,26855,26255,24038,25430,25012,30746,30403,33268,39484,47677,39342,43031,56936,75142,86158,116182,153148,159019,164292,186357,192125,194442,221142,256649,279663,296548
Industrial Sector at Current Prices (Rs Million),,,884458,995056,1034701,1144451,1439151,1718074,1957107,2226901,2680630,2990734,3460707,4180311,4906519,5231567,5832632,5964268,5939635,6434821,7285014,8568673,8837507,10551041,13606601,17331360,21392600,22998304,25314302
,Mining & Quarrying at Current Prices (Rs Million),,109523,132972,150532,176615,216390,216488,285481,331686,375077,459762,549269,547196,714406,759029,818983,786726,691258,706614,847753,1156829,1230493,1264280,1488638,1789766,2271331,2277653,2501541
,Manufacturing at Current Prices (Rs Million),,468087,537590,565261,629065,795645,1013842,1222202,1393587,1676541,1844016,2151777,2640236,3069947,3335808,3749598,3742822,3668778,4017236,4547093,5513025,5427248,6663895,9171212,11415656,13836554,14818820,16807936
,,Large Scale at Current Prices (Rs Million),391308,453039,475458,530308,677586,871600,1059972,1208353,1465583,1576860,1810245,2206129,2556200,2757695,3075033,2990836,2841709,3083146,3499175,4266145,4026236,4933633,7040683,8536018,10138637.72,10445058.7,11869990.76
,,Small Scale at Current Prices (Rs Million),46837,52614,55981,59860,69489,79742,91668,103220,120580,152458,192339,249117,281836,328826,389099,442268,494949,575507,633065,772543,851921,1038496,1286555,1732217,2252074.281,2623931.363,2995698.358
,,Slaughtering at Current Prices (Rs Million),29942,31937,33822,38897,48570,62500,70563,82015,90378,114698,149194,184990,231911,249287,285466,309719,332121,358582,414852,474337,549090,691765,843974,1147421,1445841.996,1749829.936,1942246.885
